"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"HECO","Q22",42,142,0,0,0,0,0,0,0,0,0,0.0773331011401483,1.16937863845071,0,0.0799999977250747,12.6192859564491,22.7552659147991,8.65919456937305,11.6850107447574,1.19945282610158,5.5587172159797,16.0804087604758,20.112512438042,0.737722911438084,0,0,0,0,0,0,0,0,1,3,1,0,1,0,2,2,0,1,2,1,8,9,8,5,3,0,0,0,0,0,1,1,1,0.991009955152834,0.928311423117751,0.870652191538094,0.824365309642688,0.787477953892955,0.757719469195973,0.733334209888807,0.68834556171207,0.657705013995641,0.635527336837478,0.598430732183846,0.563547992492098,0.533795547569538,0.487266265504599,0.445276606533363,0.398326584179158,0.358031718785339,0.312086588111848,0.262839151791758,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q22",42,146,0,0,0,0,0,0,0,0,0,0,0,1.24671173959086,14.4738673182296,21.3740641197591,4.11664008336387,2.45623716397876,13.3779484977725,1.19945282610158,5.5587172159797,20.482881591946,15.7100396065718,0.737722911438084,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,2,2,2,1,1,4,9,10,8,1,1,0,0,0,0,1,1,1,0.992972286400114,0.931420179575539,0.873722391833423,0.827216558061279,0.790089652490378,0.760109785671695,0.735528614582209,0.690152846368472,0.647568321276807,0.595292213569612,0.552986564282988,0.519106186643447,0.491650702668493,0.450212814453999,0.420620332851609,0.386864425847033,0.350827640011937,0.307574905228187,0.261599601803422,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q22",42,148,6.6006169252497e-05,1.03724867489936,1.83323767507461,2.11336293298778,4.20446340858722,4.41942072590285,0.709461214110231,1.13251896669805,0.5,0,0.0532929869678149,5.25542422901189,8.67548214589586,50.0083628805339,16.1008724285688,0.25,2.44616456569244,1.25718132219362,0.737722911438084,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,4,2,7,4,8,9,4,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.996907679672167,0.959549618487689,0.914871294266533,0.850361665579536,0.786754686470649,0.687947152292819,0.592793381632793,0.487246928300279,0.392483998403505,0.3183622520897,0.263109299250868,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"HECO","Q22",42,153,0,0,0,0.211200384864339,0.0387996151356611,0,0.0503173516231788,1.77825929922136,0.000435778005956955,0.25,4.3145546057699,29.6292999421651,40.0843600428142,17.3218362073378,2.11415104847006,0,0.25,1.49671173959086,2.42936693040522,0.0272672178899711,0.737722911438084,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,2,1,1,4,9,5,8,8,3,1,0,0,0,0,1,1,1,1,0.989492756214369,0.938856692388519,0.890035874575165,0.84867374433424,0.814276104666356,0.785579925777978,0.731740995693879,0.694570665551151,0.66751749973598,0.638301533979079,0.600396455928378,0.567320010861442,0.515159716639184,0.462157274975443,0.410235050657666,0.367027439821276,0.314626638780096,0.263108635912916,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"HECO","Q22",42,155,0,0.944198189127052,0.56298313306655,0,0,0,0,0,0,0,2.12978812907798,0.066376436614465,0,0,0,0,12.7296691183675,3.22011048606182,40.0795191679189,7.42286826444975,32.766143353139,0.812626796908717,0,0,0,0,0,0,0,0,2,1,1,1,2,0,4,0,5,3,5,3,11,3,2,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.95620377586197,0.851219552740176,0.756936690403079,0.68595517397606,0.631576494879003,0.588792506524409,0.52609058792847,0.482559763926343,0.443813614292718,0.37626085774892,0.31520824864083,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q22",42,156,0.996711739590861,0.25,0,0,0,0,0,0,0,0,0.944198189127052,0.56298313306655,0,0,4.2659782299298,7.27426223849013,43.7007882185918,0.75,5.5587172159797,25.5308646418122,10.8997794681437,0,0,0,0,0,0,0,2,0,1,1,1,1,0,2,1,0,5,4,2,3,11,9,1,2,1,0,0,0,0,0,1,1,1,1,1,1,1,0.997532561881923,0.971163941063491,0.939918610787919,0.86947254383537,0.815239688307459,0.7738637958615,0.74166497541185,0.716036767719184,0.679481995711398,0.595197142972674,0.512259597272088,0.446919305165461,0.386083734623131,0.318352096074649,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q22",42,157,0,0,0,0,0,0,0,0,0.0328444751879465,1.21386726440291,0,0.0722121499999995,8.81038312672741,37.6549233726825,9.26123853369383,0.949452826101584,0.5,5.6809122734797,34.4832181405491,2.07523091190686,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,2,1,3,1,3,6,13,6,4,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.989407125241014,0.938732740053823,0.889910012608993,0.847180306919011,0.787654330005398,0.730586818900465,0.643802806907437,0.555932414626937,0.476508326264916,0.390468884828095,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q22",42,158,0,0,0,0,0,0,0.25,3.81623127328988,7.35093427082191,9.356372369269,18.0682583431,1.45639913452903,0.372613294321461,3.8814340505451,10.7360448646246,0.5,1.19419818912705,9.64381525153582,33.3702591221298,0,0,0.737722911438084,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,3,1,3,1,4,8,12,5,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.992053319206578,0.911855969935192,0.801008886757461,0.7134290865655,0.648577080245156,0.598990120350111,0.560004508603723,0.502874717130978,0.463192264473683,0.43072531493597,0.371660388342421,0.313430230101081,0.262984653634416,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q22",42,159,0,0,0,0.891098057211333,2.01927711495012,2.05947614968487,2.03219182518882,4.56241287501053,5.45939156793221,3.10213026373312,1.21575189879105,21.8404162361714,14.0192720302534,0.0178443515740483,20.5605368797821,18.5134150251246,0.290882509387615,3.41246337849844,0.737722911438084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,4,4,1,11,9,5,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.992024272067561,0.927420638266077,0.846295924916006,0.773264760146998,0.714561677502027,0.627924288569247,0.566770792075141,0.476319445115358,0.389272729586507,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q22",42,160,0,0,0.25,0,0,0,0,0,0,0.180048342001535,2.18410270646852,0,0.806617636934084,31.6042007900824,20.8349214478239,0.500237578203972,2.77846525495207,0,14.9054740581359,26.6902152601293,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,0,3,6,2,9,1,9,7,1,0,0,0,0,0,1,1,1,0.973795095451703,0.905725073224869,0.848864351498046,0.804312923537597,0.769192900334218,0.741030323882676,0.718039644344803,0.675780847552102,0.647088113255437,0.626385937384461,0.610763151265358,0.593961433674796,0.567549010514219,0.515377504148343,0.45461089441463,0.403091394036324,0.3607780709388,0.314933790448496,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
