"","X","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","Group"
"135",135,"A1",35,281,0.749999999999965,1,4,1.03119947609079,1,"A"
"136",136,"A1",35,354,2.07845577116654,1,3,32.1683665903306,0,"A"
"137",137,"A1",35,334,0.25,1,3,2.33351448570998,1,"A"
"138",138,"A1",35,333,0.571230151568429,1,3,0,1,"A"
"139",139,"A1",35,368,0.249999999999993,1,2,12.1494543383321,0,"A"
"140",140,"A1",35,338,0.250000000000002,0,3,22.3276089077575,0,"A"
"141",141,"A1",35,263,0.249999999999993,1,4,39.8262762497231,0,"A"
"142",142,"A1",35,373,0.249999999999993,0,2,0.613219675604157,1,"A"
"143",143,"A1",35,371,0.249999999999996,1,2,26.2725752469042,0,"A"
"144",144,"A1",35,367,0.249999999999993,1,3,5.30116902250402,0,"A"
"145",145,"A1",35,280,0.249999999999993,1,4,34.7892693109316,0,"A"
"146",146,"A1",35,370,0.249999999999996,0,2,26.0217880784943,0,"A"
"147",147,"A1",35,366,0.249999999999986,1,3,8.456560567179,0,"A"
"148",148,"A1",35,238,0.250000000000004,1,4,18.5027427674805,0,"A"
"149",149,"A1",36,263,0.499999999999989,0,5,37.1635771538182,0,"A"
"150",150,"A1",36,280,0.249999999999986,0,5,34.5229083866124,0,"A"
"151",151,"A1",36,371,0.999999999999978,0,3,26.1494049595103,0,"A"
"152",152,"A1",36,238,0.499999999999989,0,5,18.4723291111198,0,"A"
"153",153,"A1",36,333,0.75,0,4,2.54522918230342,1,"A"
"154",154,"A1",36,381,0.249999999999993,0,1,1.73654110045442,1,"A"
"155",155,"A1",36,281,0.749999999999972,0,5,2.1578127053799,1,"A"
"156",156,"A1",36,382,0.249999999999993,0,1,29.1851767362602,0,"A"
"157",157,"A1",36,379,0.249999999999996,0,1,0.789524776021472,1,"A"
"158",158,"A1",36,377,0.25,0,2,0.215073807972772,1,"A"
"159",159,"A1",36,378,0.249999999999993,0,1,33.0367994030725,0,"A"
"160",160,"A1",36,384,0.249999999999986,0,1,7.44683766226458,0,"A"
"161",161,"A1",36,367,0.499999999999993,1,4,1.979969262594,0,"A"
"162",162,"A1",36,380,0.042115474307472,0,1,0,1,"A"
"163",163,"A1",36,383,0.25,1,1,3.41534331254058,1,"A"
"164",164,"A1",36,334,0.5,0,4,1.00475565772752,1,"A"
"165",165,"A1",36,368,0.749999999999985,0,3,13.4359215850087,0,"A"
"166",166,"A1",36,354,0.499999999999978,1,4,34.5285675689598,0,"A"
"167",167,"A1",36,366,0.499999999999986,0,4,9.51305679620059,0,"A"
"168",168,"A1",37,385,0.249999999999986,1,1,26.9626652201123,0,"A"
"169",169,"A1",37,367,0.249999999999993,1,5,5.86110834134311,0,"A"
"170",170,"A1",38,385,0.499999999999979,1,2,26.4264729461935,0,"A"
"171",171,"A1",38,354,0.249999999999989,1,6,32.8660339231831,0,"A"
"172",172,"A1",38,383,0.249999999999993,1,3,7.17829713339245,0,"A"
"173",173,"A1",38,388,0.249999999999993,0,1,19.9428059783731,0,"A"
"174",174,"A1",38,389,0.249999999999993,1,1,8.70565902427839,0,"A"
"175",175,"A1",38,386,0.249999999999989,1,1,24.6181032961131,0,"A"
"176",176,"A1",38,387,0.249999999999986,1,1,17.2964113793513,0,"A"
"177",177,"A1",39,391,0.249999999999986,1,1,31.2945746345802,0,"A"
"178",178,"A1",39,390,0.25,1,1,1.23386929491674,1,"A"
"179",179,"A1",39,367,0.75,1,7,1.73507202878194,1,"A"
"180",180,"A1",39,386,0.249999999999989,1,2,25.304418158992,0,"A"
"181",181,"A1",39,383,1,1,4,6.98391683372733,0,"A"
"182",182,"A1",39,392,0.249999999999986,1,1,20.6191940901709,0,"A"
"183",183,"A1",39,385,0.999999999999947,1,3,22.9618067919709,0,"A"
"184",184,"A1",39,387,0.749999999999961,1,2,17.3821308837792,0,"A"
"185",185,"A1",39,398,0.25,1,1,0.201726018432453,1,"A"
"186",186,"A1",39,389,0.249999999999995,1,2,8.25179257276729,0,"A"
"187",187,"A1",39,394,0.249999999999986,1,1,26.2686073045212,0,"A"
"188",188,"A1",39,393,0.25,1,1,12.1376629979821,0,"A"
"189",189,"A1",39,397,0.249999999999995,1,1,17.8777970440221,0,"A"
"190",190,"A1",39,354,0.249999999999993,1,7,33.6526356230678,0,"A"
"191",191,"A1",39,396,0.249999999999996,1,1,19.5389223334937,0,"A"
"192",192,"A1",39,395,0.25,1,1,10.9450606937968,0,"A"
"193",193,"A1",40,420,0.249999999999986,0,1,29.7364270964858,0,"A"
"194",194,"A1",40,419,0.249999999999993,1,1,6.3206260179529,0,"A"
"195",195,"A1",40,397,0.249999999999993,1,2,18.5200464043652,0,"A"
"196",196,"A1",40,398,0.249999999999993,0,2,2.44617863102667,1,"A"
"197",197,"A1",40,417,0.249999999999996,1,1,31.7677404259949,0,"A"
"198",198,"A1",40,354,0.249999999999986,1,8,34.7570464122023,0,"A"
"199",199,"A1",40,421,0.249999999999996,1,1,29.6039502852981,0,"A"
"200",200,"A1",40,396,0.749999999999993,1,2,18.2550923370635,0,"A"
"201",201,"A1",40,433,0.249999999999995,1,1,4.30085576735925,1,"A"
"202",202,"A1",40,416,0.249999999999993,1,1,18.7734573927514,0,"A"
"203",203,"A1",40,409,0.249999999999996,1,1,8.8798857124502,0,"A"
"204",204,"A1",40,390,0.750000000000012,1,2,3.84772287289191,0,"A"
"205",205,"A1",40,430,0.249999999999993,1,1,10.4831127401591,0,"A"
"206",206,"A1",40,426,0.249999999999986,1,1,20.4053785190824,0,"A"
"207",207,"A1",40,418,0.249999999999996,1,1,31.3703091025793,0,"A"
"208",208,"A1",40,395,0.249999999999993,1,2,13.297744302805,0,"A"
"209",209,"A1",40,428,0.249999999999989,1,1,15.3847587584396,0,"A"
"210",210,"A1",40,424,0.249999999999996,1,1,26.1153911428721,0,"A"
"211",211,"A1",40,425,0.249999999999996,1,1,25.1880521297795,0,"A"
"212",212,"A1",40,427,0.25,1,1,17.5485488991363,0,"A"
"213",213,"A1",40,415,0.249999999999993,1,1,33.0483504906616,0,"A"
"214",214,"A1",40,432,0.249999999999989,1,1,5.71394353306628,0,"A"
"215",215,"A1",40,434,0.249999999999993,1,1,2.93192782856741,1,"A"
"216",216,"A1",40,423,0.249999999999993,1,1,9.93970109180417,0,"A"
"217",217,"A1",40,408,0.249999999999986,1,1,10.0280189659293,0,"A"
"218",218,"A1",40,429,0.25,1,1,12.205313065304,0,"A"
"219",219,"A1",40,422,0.249999999999993,0,1,17.8902777616476,0,"A"
"220",220,"A1",40,411,0.249999999999986,1,1,10.9995169160844,0,"A"
"221",221,"A1",40,399,0.25,1,1,9.10264172245178,0,"A"
"222",222,"A1",40,400,0.250000000000004,1,1,17.4928473280846,0,"A"
"223",223,"A1",40,412,0.249999999999986,1,1,5.4354855070867,0,"A"
"224",224,"A1",40,391,0.249999999999989,1,2,32.0326940483702,0,"A"
"225",225,"A1",40,392,0.499999999999979,1,2,19.0806095173531,0,"A"
"226",226,"A1",40,414,0.250000000000002,0,1,16.9187807013451,0,"A"
"227",227,"A1",40,367,1.24999999999996,1,8,2.22538394571389,0,"A"
"228",228,"A1",40,393,0.499999999999994,1,2,6.67389795937966,0,"A"
"229",229,"A1",40,394,0.249999999999986,1,2,27.6167958928516,0,"A"
"230",230,"A1",40,407,0.249999999999993,1,1,8.97016446633779,0,"A"
"231",231,"A1",40,435,0.249999999999993,1,1,1.69547625603691,1,"A"
"232",232,"A1",40,401,0.250000000000005,0,1,19.5241606575938,0,"A"
"233",233,"A1",40,385,1.24999999999995,1,4,24.3355279219866,0,"A"
"234",234,"A1",40,389,0.249999999999993,1,3,8.98170754525326,0,"A"
"235",235,"A1",40,431,0.249999999999989,1,1,10.3064769919089,0,"A"
"236",236,"A1",40,410,0.249999999999993,1,1,4.59842524788166,0,"A"
"237",237,"A1",40,413,0.25,0,1,33.7548939285888,0,"A"
"238",238,"A1",40,405,0.249999999999989,0,1,11.3969473496474,0,"A"
"239",239,"A1",40,406,0.249999999999986,1,1,41.4385556513682,0,"A"
"240",240,"A1",40,386,0.249999999999986,1,3,25.0862298520501,0,"A"
"241",241,"A1",40,403,0.249999999999996,1,1,6.18814876183892,0,"A"
"242",242,"A1",40,383,1.99999999999995,1,5,2.52295342623631,0,"A"
"243",243,"A1",40,402,0.250000000000004,1,1,25.5739403742796,0,"A"
"244",244,"A1",40,387,1.24999999999994,1,3,16.4310706240419,0,"A"
"245",245,"A1",40,404,0.249999999999989,1,1,9.40979340212719,0,"A"
"246",246,"A1",41,411,0.249999999999993,1,2,11.3030654208511,0,"A"
"247",247,"A1",41,409,0.499999999999972,1,2,4.81565884732794,0,"A"
"248",248,"A1",41,451,0.249999999999986,0,1,24.1468238508347,0,"A"
"249",249,"A1",41,452,0.249999999999993,0,1,22.3528004049523,0,"A"
"250",250,"A1",41,408,0.249999999999986,1,2,11.4364587802539,0,"A"
"251",251,"A1",41,410,0.499999999999986,1,2,0.754410716724496,1,"A"
"252",252,"A1",41,402,1,1,2,23.8204237163797,0,"A"
"253",253,"A1",41,407,1.24999999999998,1,2,5.62390279985497,0,"A"
"254",254,"A1",41,453,0.249999999999993,0,1,19.2773317677042,0,"A"
"255",255,"A1",41,445,0.201726028981579,0,1,0,1,"A"
