"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","Group","Grazing"
"116","q15",70,8,24.52606,1,1,20.4833526611328,0,"et2","No"
"117","q16",64,42,281.6901,1,1,-1.0794734954834,0,"et2","No"
"118","q16",65,43,121.6014,0,1,11.6259546279907,0,"et2","No"
"119","q16",66,44,32.1773,1,1,12.9288635253906,0,"et2","No"
"120","q16",66,45,3.22218,1,1,4.15177631378174,0,"et2","No"
"121","q16",66,42,57.08665,1,3,-0.541719853878021,0,"et2","No"
"122","q16",68,45,41.63686,0,3,4.67361688613892,0,"et2","No"
"123","q16",68,44,5.66494,0,3,13.9658126831055,0,"et2","No"
"124","q16",68,42,22.22916,0,5,2.119873046875,0,"et2","No"
"125","q16",71,47,103.3125,0,3,-0.5,0,"et2","No"
"126","q17",36,30,14.55767,0,1,9.38222503662109,0,"et2","No"
"127","q17",36,27,13.73643,0,1,31.0046939849854,0,"et2","No"
"128","q17",36,28,8.248085,0,1,3.84523010253906,0,"et2","No"
"129","q17",36,26,16.2678,1,1,0.00749969482421875,1,"et2","No"
"130","q17",36,22,15.79306,1,1,13.2509613037109,0,"et2","No"
"131","q17",36,31,4.161994,0,1,19.7133178710938,0,"et2","No"
"132","q17",36,14,5.422313,0,1,3.96254730224609,0,"et2","No"
"133","q17",36,13,6.347565,0,1,0.09625244140625,1,"et2","No"
"134","q17",36,25,5.729503,0,1,11.3596420288086,0,"et2","No"
"135","q17",36,36,22.7411,0,1,23.9699974060059,0,"et2","No"
"136","q17",36,48,21.68215,1,1,0.0581741333007812,1,"et2","No"
"137","q17",36,24,17.08811,1,1,3.60780334472656,0,"et2","No"
"138","q17",36,34,23.684,1,1,14.9274978637695,0,"et2","No"
"139","q17",36,21,11.85005,0,1,17.8212280273438,0,"et2","No"
"140","q17",36,37,22.72694,1,1,4.05088043212891,0,"et2","No"
"141","q17",36,46,18.75656,1,1,5.17619323730469,0,"et2","No"
"142","q17",36,33,6.623868,0,1,3.40305328369141,0,"et2","No"
"143","q17",36,23,30.93933,0,1,0.00012969970703125,0,"et2","No"
"144","q17",36,20,36.20704,0,1,5.56974792480469,0,"et2","No"
"145","q17",36,35,7.550848,0,1,9.1287841796875,0,"et2","No"
"146","q17",36,19,18.93674,0,1,-0.00894927978515625,1,"et2","No"
"147","q17",36,29,13.87462,0,1,22.5554962158203,0,"et2","No"
"148","q17",36,17,5.402499,0,1,22.6640396118164,0,"et2","No"
"149","q17",36,32,15.70689,0,1,26.5353164672852,0,"et2","No"
"150","q17",36,42,24.69045,0,1,8.60568237304688,0,"et2","No"
"151","q17",36,18,5.05881,0,1,5.32351684570312,0,"et2","No"
"152","q17",36,15,12.7338,0,1,10.533203125,0,"et2","No"
"153","q17",36,47,19.72893,0,1,5.6926851272583,0,"et2","No"
"154","q17",36,16,5.640514,0,1,14.1390686035156,0,"et2","No"
"155","q17",36,43,3.021684,0,1,16.4642105102539,0,"et2","No"
"156","q17",36,44,8.176096,0,1,13.3146600723267,0,"et2","No"
"157","q17",36,45,16.0633,0,1,11.8427286148071,0,"et2","No"
"158","q17",36,38,25.33165,0,1,19.5962390899658,0,"et2","No"
"159","q17",36,39,21.7731,0,1,5.60787963867188,0,"et2","No"
"160","q17",36,41,2.463569,0,1,2.93484497070312,1,"et2","No"
"161","q17",36,40,17.30256,0,1,14.8802108764648,0,"et2","No"
"162","q17",37,48,30.44656,1,2,1.2649872303009,0,"et2","No"
"163","q17",37,46,21.55166,1,2,4.01918792724609,0,"et2","No"
"164","q17",37,22,42.56246,1,2,13.0080947875977,0,"et2","No"
"165","q17",37,34,77.42319,1,2,10.2336654663086,0,"et2","No"
"166","q17",37,37,30.62338,1,2,0.777534484863281,0,"et2","No"
"167","q17",37,24,46.82545,1,2,6.51592254638672,0,"et2","No"
"168","q17",37,26,15.00782,1,2,-0.211532592773438,1,"et2","No"
"169","q17",38,22,24.83779,1,3,15.8994140625,0,"et2","No"
"170","q17",38,24,73.84011,1,3,9.77409362792969,0,"et2","No"
"171","q17",38,48,51.05756,1,3,0.911067843437195,0,"et2","No"
"172","q17",38,46,3.612944,0,3,5.25325775146484,0,"et2","No"
"173","q17",38,26,18.8913,1,3,-0.172401428222656,1,"et2","No"
"174","q17",38,37,24.47618,1,3,3.28736877441406,0,"et2","No"
"175","q17",38,34,159.70071,1,3,5.11836242675781,0,"et2","No"
"176","q17",39,22,8.695,0,4,18.4000015258789,0,"et2","No"
"177","q17",39,34,158.8475,0,4,2.40000152587891,0,"et2","No"
"178","q17",39,37,44.39,0,4,1.94999694824219,0,"et2","No"
"179","q17",39,26,30.73496,0,4,-0.199996948242188,1,"et2","No"
"180","q17",39,48,93.8625,0,4,1.59999847412109,0,"et2","No"
"181","q17",39,24,62.46,0,4,13.0500030517578,0,"et2","No"
"182","q17",62,57,14.63686,0,1,-0.0043388488702476,1,"et2","No"
"183","q17",62,58,3.035483,0,1,10.0456466674805,0,"et2","No"
"184","q17",62,56,21.331,1,1,-0.0102094262838364,0,"et2","No"
"185","q17",63,56,172.3669,1,2,-0.23759600520134,0,"et2","No"
"186","q17",63,59,103.669,0,1,3.81347393989563,0,"et2","No"
"187","q17",63,60,11.84029,1,1,25.7924785614014,0,"et2","No"
"188","q17",64,61,63.58867,0,1,17.9175872802734,0,"et2","No"
"189","q17",64,60,156.8497,1,2,22.2747459411621,0,"et2","No"
"190","q17",64,56,40.95996,1,3,0.0285109523683786,0,"et2","No"
"191","q17",65,56,670.1765,1,4,-0.173371464014053,0,"et2","No"
"192","q17",65,60,247.8438,1,3,26.7928562164307,0,"et2","No"
"193","q17",66,63,27.72354,0,1,43.2349548339844,0,"et2","No"
"194","q17",66,62,94.87165,1,1,0.763954162597656,0,"et2","No"
"195","q17",66,56,357.7660531,1,5,-3.46568751335144,0,"et2","No"
"196","q17",66,60,236.14973,1,4,24.8150615692139,0,"et2","No"
"197","q17",67,60,65.07204,1,5,17.1298999786377,0,"et2","No"
"198","q17",67,62,133.6178,1,2,0.0799407958984375,0,"et2","No"
"199","q17",68,64,86.70137,0,1,0.275947570800781,0,"et2","No"
"200","q17",68,65,102.2086,0,1,0.470382690429688,0,"et2","No"
"201","q17",68,60,42.2745,1,6,16.5307846069336,0,"et2","No"
"202","q17",68,66,119.8557,0,1,-0.795501708984375,0,"et2","No"
"203","q17",68,56,84.46601,1,7,-0.0234598685055971,0,"et2","No"
"204","q17",68,62,640.0543,1,3,-0.549346923828125,0,"et2","No"
"205","q17",69,56,286.8035,1,8,-0.0510423965752125,0,"et2","No"
"206","q17",69,60,223.8014,0,7,0.0332453288137913,0,"et2","No"
"207","q17",69,62,201.8771,1,4,-0.093231201171875,0,"et2","No"
"208","q17",70,62,615.3469,1,5,0.435821533203125,0,"et2","No"
"209","q17",70,56,550.3578,1,9,0.120228588581085,0,"et2","No"
"210","q17",71,62,687.698,1,6,-0.69232177734375,0,"et2","No"
"211","q17",71,56,432.7751,1,10,0.0123750846832991,0,"et2","No"
"212","q18",60,7,52.67391,0,1,24.1557445526123,0,"et3","No"
"213","q18",67,8,140.2375,0,1,-0.599998474121094,0,"et3","No"
"214","q19",45,10,73.97522,1,1,-0.8834228515625,0,"et3","No"
"215","q19",46,10,167.8107,1,2,-0.951507568359375,0,"et3","No"
"216","q19",47,10,114.4151,0,3,0.130111694335938,0,"et3","No"
"217","q19",49,11,7.069699,0,1,11.74036693573,0,"et3","No"
"218","q19",50,12,7.861547,0,1,3.1922607421875,0,"et3","No"
"219","q19",51,15,5.990389,1,1,34.9054985046387,0,"et3","No"
"220","q19",51,17,8.308665,0,1,27.2853164672852,0,"et3","No"
"221","q19",51,16,16.51307,1,1,32.654899597168,0,"et3","No"
"222","q19",51,14,10.29178,0,1,0.073333740234375,1,"et3","No"
"223","q19",51,13,1.66853,0,1,10.6679840087891,0,"et3","No"
"224","q19",53,15,9.77747,0,3,34.8743286132812,0,"et3","No"
"225","q19",53,16,47.18381,1,3,33.8246307373047,0,"et3","No"
"226","q19",54,16,38.925656,1,4,31.467887878418,0,"et3","No"
"227","q19",55,16,55.8,0,5,33.6500015258789,0,"et3","No"
"228","q19",55,23,53.91,0,1,0.849998474121094,0,"et3","No"
"229","q19",55,22,29.215,0,1,14.4499969482422,0,"et3","No"
"230","q19",57,24,65.1425,1,1,-0.400001525878906,0,"et3","No"
"231","q19",58,25,9.8275,0,1,11.9000015258789,0,"et3","No"
"232","q19",58,24,38.98,1,2,3.44999694824219,0,"et3","No"
"233","q19",58,26,6.622499,0,1,7.25,0,"et3","No"
"234","q19",59,24,102.2901,1,3,0.391281127929688,0,"et3","No"
"235","q19",60,27,41.13526,0,1,11.0919036865234,0,"et3","No"
"236","q19",61,24,157.0625,1,5,-0.349998474121094,0,"et3","No"
"237","q19",65,30,150.4267,0,3,18.3696422576904,0,"et3","No"
"238","q19",65,24,710.2941,0,9,-1.39998626708984,0,"et3","No"
"239","q19",71,33,62.17902,1,1,14.8265514373779,0,"et3","No"
"240","q19",71,34,40.04337,1,1,1.56208443641663,0,"et3","No"
"241","q19",71,31,354.9893,1,1,22.2913227081299,0,"et3","No"
"242","q19",71,32,35.37285,1,1,18.8456935882568,0,"et3","No"
"243","q20",35,10,63.47001,1,1,-0.0500030517578125,0,"et3","No"
"244","q20",35,11,7.204999,0,1,5.69999980926514,0,"et3","No"
"245","q20",36,10,46.233612,0,2,2.05677795410156,0,"et3","No"
"246","q20",39,13,16.41966,0,1,1.16219747066498,0,"et3","No"
"247","q20",39,12,5.694347,0,1,0.671653747558594,1,"et3","No"
"248","q20",49,14,16.33519,1,1,31.8618240356445,0,"et3","No"
"249","q20",50,15,43.43144,0,1,12.5169677734375,0,"et3","No"
"250","q20",50,16,9.112684,0,1,9.09268951416016,0,"et3","No"
"251","q20",50,14,18.753582,0,2,28.9465179443359,0,"et3","No"
"252","q20",57,17,45.79659,0,1,6.14725494384766,0,"et3","No"
"253","q20",59,18,23.35402,0,1,42.8901443481445,0,"et3","No"
"254","q20",60,19,19.93197,1,1,-0.595844924449921,1,"et3","No"
"255","q20",62,20,13.30959,0,1,33.492790222168,0,"et3","No"
"256","q20",62,19,0.6324539,0,3,2.7645788192749,1,"et3","No"
"257","q20",64,21,244.5731,1,1,2.21548748016357,0,"et3","No"
"258","q20",65,21,108.51094,1,2,7.73953104019165,0,"et3","No"
"259","q20",66,21,25.01426,0,3,9.114182472229,0,"et3","No"
"260","q20",67,22,67.84167,0,1,0.431343078613281,0,"et3","No"
"261","q21",35,27,1.734511,0,1,20.5170822143555,0,"lb1","No"
"262","q21",35,26,3.308992,1,1,7.41853332519531,0,"lb1","No"
"263","q21",35,28,2.187092,1,1,18.9987335205078,0,"lb1","No"
"264","q21",35,30,1.869343,1,1,3.32324981689453,0,"lb1","No"
"265","q21",35,23,2.604328,1,1,30.893310546875,0,"lb1","No"
"266","q21",35,25,1.100871,0,1,11.5309524536133,0,"lb1","No"
"267","q21",35,24,1.403368,0,1,12.9579696655273,0,"lb1","No"
"268","q21",35,29,0.8038312,1,1,16.0878829956055,0,"lb1","No"
"269","q21",35,17,5.980866,1,1,0.818099975585938,1,"lb1","No"
"270","q21",35,22,1.616796,0,1,22.1214218139648,0,"lb1","No"
"271","q21",35,21,1.065136,1,1,22.329963684082,0,"lb1","No"
"272","q21",35,20,4.141117,1,1,20.4183120727539,0,"lb1","No"
"273","q21",35,19,4.926821,1,1,8.80210876464844,0,"lb1","No"
"274","q21",35,18,1.561851,0,1,0.867599487304688,1,"lb1","No"
"275","q21",36,31,11.92878,1,1,9.64382171630859,0,"lb1","No"
"276","q21",36,30,5.492909,1,2,4.57239103317261,0,"lb1","No"
"277","q21",36,17,23.748045,1,2,-0.224761962890625,0,"lb1","No"
"278","q21",36,32,6.166724,0,1,27.3166885375977,0,"lb1","No"
"279","q21",36,34,3.333881,0,1,3.58062744140625,0,"lb1","No"
"280","q21",36,35,3.451572,0,1,3.42819213867188,0,"lb1","No"
