"","X","quad","year","NRquad","totParea","recArea","Group"
"324",324,"SG9",25,0,2.18242706414125,0,"S"
"325",325,"SG9",26,5,2.6266138614326,1.903591568375,"S"
"326",326,"SG9",27,1,13.3539048374684,0.0748844635461379,"S"
"327",327,"SG9",28,1,11.6389749560669,0.0859182190678008,"S"
"328",328,"SG9",29,10,25.9624875241641,0.385171104682966,"S"
"329",329,"SG9",30,1,43.2198388765519,0.0231375226283532,"S"
"330",330,"SG9",31,5,110.784890769623,0.0451325082803711,"S"
"331",331,"SG9",32,6,126.555303198675,0.0474101033172888,"S"
"332",332,"SG9",33,1,180.637129353986,0.00553596042838096,"S"
"333",333,"WD1",21,2,4.89841597640718,0.408295254962591,"W"
"334",334,"WD1",22,0,14.3260404779206,0,"W"
"335",335,"WD1",23,2,13.2486708187866,0.150958539717358,"W"
"336",336,"WD1",24,0,11.5815224200999,0,"W"
"337",337,"WD1",27,0,17.0796919008523,0,"W"
"338",338,"WD1",28,0,13.2906393873787,0,"W"
"339",339,"WD1",29,0,13.5455758429385,0,"W"
"340",340,"WD1",30,0,23.1021313421751,0,"W"
"341",341,"WD1",31,0,18.1524016278401,0,"W"
"342",342,"WD11",21,0,3.86091552280213,0,"W"
"343",343,"WD11",22,0,10.2685997775979,0,"W"
"344",344,"WD11",23,5,9.32668250084867,0.53609630214656,"W"
"345",345,"WD11",24,1,22.7207952197972,0.0440125440296506,"W"
"346",346,"WD11",27,0,17.6968320835762,0,"W"
"347",347,"WD11",28,0,11.7294448061282,0,"W"
"348",348,"WD11",29,0,13.4194261185887,0,"W"
"349",349,"WD11",30,0,12.1456322789463,0,"W"
"350",350,"WD11",31,0,14.9098812536857,0,"W"
"351",351,"WD11",32,0,19.2866117854049,0,"W"
"352",352,"WD15",24,0,0.500977039337158,0,"W"
"353",353,"WD17",22,0,2.00565328323567,0,"W"
"354",354,"WD19",21,4,7.58376368715922,0.527442595128956,"W"
"355",355,"WD19",22,3,32.2721837124044,0.0929593121660029,"W"
"356",356,"WD19",23,0,5.54109885132506,0,"W"
"357",357,"WD19",28,0,4.41816431790469,0,"W"
"358",358,"WD19",29,3,6.16917804709605,0.486288445089076,"W"
"359",359,"WD19",32,0,45.9577951221986,0,"W"
"360",360,"WD25",21,5,8.55273289719697,0.584608459085478,"W"
"361",361,"WD25",24,0,15.6425409186868,0,"W"
"362",362,"WD25",27,0,32.7611326800344,0,"W"
"363",363,"WD25",28,0,15.2484581026817,0,"W"
"364",364,"WD25",30,0,0.25048851966858,0,"W"
"365",365,"WD25",31,0,6.44849672885206,0,"W"
"366",366,"WD5",20,1,38.707519040064,0.0258347738320546,"W"
"367",367,"WD5",21,0,44.6875075764405,0,"W"
"368",368,"WD5",22,0,43.4200507966428,0,"W"
"369",369,"WD5",24,0,8.21650039130606,0,"W"
"370",370,"WD5",27,2,17.2363938741932,0.116033551716085,"W"
"371",371,"WD5",28,0,14.1083129385868,0,"W"
"372",372,"WD5",29,0,6.44211323190501,0,"W"
"373",373,"WD5",30,0,19.082597851615,0,"W"
"374",374,"WD5",31,0,16.262413315971,0,"W"
"375",375,"WD9",21,1,0.25048851966858,3.99219892920879,"W"
"376",376,"WD9",22,1,6.62805072910577,0.150873920685112,"W"
"377",377,"WD9",23,0,16.1888143517624,0,"W"
"378",378,"WD9",24,0,9.04706480567725,0,"W"
"379",379,"WD9",25,0,16.1299966578726,0,"W"
"380",380,"WD9",26,1,25.6697172192467,0.0389564088867414,"W"
"381",381,"WD9",27,4,64.3841045608122,0.0621271356848942,"W"
"382",382,"WD9",28,0,39.567019015075,0,"W"
"383",383,"WD9",29,1,108.153945573971,0.00924607969402336,"W"
"384",384,"WD9",30,2,123.499000099448,0.0161944631000211,"W"
"385",385,"WD9",31,4,129.94326602257,0.0307826647923813,"W"
"386",386,"WD9",32,1,122.86421504809,0.00813906636369742,"W"
"387",387,"WD9",33,2,146.901246711967,0.0136145883358053,"W"
"388",388,"WD9",34,8,44.358590303069,0.180348382248895,"W"
