"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"3947","NC26",32,9,"Bouteloua eriopoda",14.6337400393989,67.7210903892986,58.7085116881924,3,1,0,32,29.9508701052256,0
"3948","NC26",32,10,"Bouteloua eriopoda",9.94088741317403,53.8577529733403,57.0937118702294,3,1,0,29,41.3767139138956,0
"3949","NC26",32,11,"Bouteloua eriopoda",5.93765066196237,49.854228668413,40.2899713258561,3,1,0,35,38.5684374128078,0
"3950","NC26",32,34,"Bouteloua eriopoda",0.24743378162384,55.682373046875,88.6199951171875,4,0,0,23,11.1328125,0
"3951","NC26",32,35,"Bouteloua eriopoda",0.25048851966858,46.759033203125,91.9189453125,3,0,0,25,7.830810546875,0
"3952","NC26",32,37,"Bouteloua eriopoda",0.25048851966858,59.08203125,94.3603515625,1,1,0,51,5.389404296875,0
"3953","NC26",32,39,"Bouteloua eriopoda",0.25048851966858,55.35888671875,97.119140625,1,0,0,52,2.630615234375,1
"3954","NC26",32,40,"Bouteloua eriopoda",0.25048851966858,41.180419921875,97.18017578125,1,0,0,53,2.569580078125,1
"3955","NC26",33,0,"Bouteloua eriopoda",10.7559189538266,43.8292362454252,85.9917466712516,4,1,0,25,12.4119846385172,0
"3956","NC26",33,1,"Bouteloua eriopoda",17.9372985854369,57.4195920146318,84.1416135188167,5,1,0,23,13.1165281326449,0
"3963","NC26",33,8,"Bouteloua eriopoda",10.2433839109852,69.0078516551749,57.3955403603875,4,1,0,32,29.2458096791143,0
"3964","NC26",33,9,"Bouteloua eriopoda",11.9630924210711,55.047870101517,57.4257114215289,4,1,0,29,40.7021231372627,0
"3965","NC26",33,23,"Bouteloua eriopoda",12.4095451054916,51.0566280096618,40.4685617067661,4,1,0,35,38.3783494844926,0
"3966","NC26",33,28,"Bouteloua eriopoda",0.25048851966858,71.74072265625,63.580322265625,4,0,0,32,28.009033203125,0
"3967","NC26",33,29,"Bouteloua eriopoda",0.25048851966858,60.357666015625,91.497802734375,2,0,0,51,8.251953125,0
"3968","NC26",34,0,"Bouteloua eriopoda",18.3865124619242,42.8373105508839,84.3899556528301,5,1,0,25,13.1594611782627,0
"3969","NC26",34,1,"Bouteloua eriopoda",8.2482769414691,57.1518513570187,83.3085270358268,6,1,0,23,15.1515284471128,0
"3976","NC26",34,8,"Bouteloua eriopoda",7.92362254345984,97.8872392828231,92.378430874368,6,0,1,24,0.599527851933004,1
"3979","NC26",34,11,"Bouteloua eriopoda",14.6573239744536,68.2991853673753,57.3474382791633,5,1,0,32,29.672946230673,0
"3980","NC26",34,12,"Bouteloua eriopoda",20.8562133900476,54.7148354790382,56.505436890659,5,1,0,29,40.8868875699044,0
