"quad","year","SP_ID","x","y","GenID"
"b1",15,"31","89.6901608672275","64.4187043972476","31"
"b1",15,"40","47.2973945354628","77.0541037842178","40"
"b1",15,"42","67.5655064195182","82.8381189435979","42"
"b1",15,"44","89.7615206191146","84.1306893639265","44"
"b1",15,"53","14.7027050785255","52.7000000234693","53"
"b2",19,"8","76.5281573494255","15.5660455520212","8"
"b2",19,"9","77.5666666663407","17.3133333387992","9"
"b3",15,"25","95.7189108879594","55.1439934060852","25"
"b3",15,"29","97.2529105050659","60.8135111496608","29"
"b3",15,"36","76.1404726874378","73.2045677756143","36"
"b4",15,"20","13.0048226067463","78.4112158305444","20"
"b4",15,"29","23.2027050748002","91.0000000149012","29"
"b4",15,"35","95.7027050782926","99.3999999947846","35"
"b5",15,"8","41.7061278156365","43.2492092652545","8"
"b5",15,"11","6.82054673705461","48.773668447679","11"
"b5",15,"13","57.6233011346286","54.4919903420787","13"
"b5",15,"15","32.8668009308082","53.8767250421067","15"
"b5",15,"16","8.25920634865089","55.14809525038","16"
"g1",15,"16","67.5730343749123","8.06835287729075","16"
"g1",15,"21","58.0341316252398","86.5457900742056","21"
"g1",15,"22","49.4787534054402","92.4786744161011","22"
"g1",15,"23","48.796863186932","65.8597864391014","23"
"g1",15,"24","46.0268289683848","99.1029494197641","24"
"g1",15,"25","43.917520686215","69.4010611526975","25"
"g1",15,"26","39.5119079666233","72.0144584467669","26"
"g1",15,"27","38.3160225495306","67.6807916566563","27"
"g1",15,"28","36.1583536113946","97.0918696487829","28"
"g1",15,"29","29.5961791341882","99.315751287631","29"
"g1",15,"37","15.3288378772125","23.9056843031733","37"
"g2",15,"3","7.51652751373121","10.8311764825593","3"
"g2",15,"20","8.59917675166471","72.567836971553","20"
"g2",15,"25","56.0427766573131","81.4098018797801","25"
"g3",15,"4","55.8485454006785","4.90416113960541","4"
"g3",15,"8","56.0313179483691","9.00291102215672","8"
"g3",15,"10","47.5501491631135","14.3748903969214","10"
"g3",15,"11","98.7766813079656","15.7832764791632","11"
"g3",15,"15","44.8796465421901","16.3553136074471","15"
"g3",15,"20","97.539310870256","26.8152099224718","20"
"g4",15,"9","7.14333333207271","14.1084130870661","9"
"g4",15,"51","70.9744859828015","98.5420579570179","51"
"g4",15,"52","77.5318390801107","98.8957694068967","52"
"g5",18,"30","89.1999999992549","63.8965454418212","30"
"g6",27,"0","28.3077596691635","5.07249998792834","0"
"g6",27,"1","15.0727025552778","6.36715153262775","1"
"g6",27,"2","51.8406392726319","8.87885448676671","2"
"g6",27,"3","83.3501129940133","9.28204774013643","3"
"g6",27,"4","74.7984604419976","12.7185571189532","4"
"g6",27,"5","30.5465853641699","10.552562971515","5"
"g6",27,"6","11.7262194385693","10.9876021140457","6"
"g6",27,"9","16.726666665384","15.4790758513388","9"
"g6",27,"11","25.0072184800257","19.4370357907","11"
"g6",27,"15","34.7196855041681","26.8673405253679","15"
"g6",27,"16","52.4195557831838","25.0507874919045","16"
"g6",27,"17","22.8011148346651","24.9152585773172","17"
"g6",27,"19","19.6099999987546","24.458413082718","19"
"g6",27,"20","19.2099999997071","27.6084130866722","20"
"g6",27,"21","45.4894496156365","32.6828955831135","21"
"g6",27,"24","23.6048065738896","34.1106388298732","24"
"g6",27,"25","92.9581389580453","38.6178423682907","25"
"g6",27,"26","24.0004761870672","40.3315423342002","26"
"g6",27,"28","8.18295138771315","41.6326665578268","28"
"g6",27,"31","4.34983739591477","43.7734537311031","31"
"g6",27,"32","14.8446899235566","43.6124828558678","32"
"g6",27,"35","92.781038250509","48.918795607656","35"
"g6",27,"41","15.7059462538719","59.3001511414459","41"
